date,store,item,predicted_sales
2018-01-01,1,1,35.396328
2018-01-02,1,1,96.005554
2018-01-03,1,1,97.872856
2018-01-04,1,1,107.50217
2018-01-05,1,1,114.24013
2018-01-06,1,1,116.06729
2018-01-07,1,1,118.2235
2018-01-08,1,1,112.106125
2018-01-09,1,1,118.63922
2018-01-10,1,1,119.672356
2018-01-11,1,1,131.98802
2018-01-12,1,1,137.56927
2018-01-13,1,1,139.36884
2018-01-14,1,1,140.59242
2018-01-15,1,1,128.8271
2018-01-16,1,1,137.04616
2018-01-17,1,1,137.5561
2018-01-18,1,1,145.50069
2018-01-19,1,1,150.67401
2018-01-20,1,1,154.17068
2018-01-21,1,1,159.46901
2018-01-22,1,1,128.8271
2018-01-23,1,1,137.04616
2018-01-24,1,1,137.55913
2018-01-25,1,1,145.50069
2018-01-26,1,1,150.67401
2018-01-27,1,1,154.22455
2018-01-28,1,1,159.46901
2018-01-29,1,1,124.99629
2018-01-30,1,1,136.80078
2018-01-31,1,1,136.99884
2018-02-01,1,1,144.35565
2018-02-02,1,1,148.87288
2018-02-03,1,1,153.73067
2018-02-04,1,1,159.22864
2018-02-05,1,1,125.99178
2018-02-06,1,1,137.79631
2018-02-07,1,1,137.99438
2018-02-08,1,1,144.35565
2018-02-09,1,1,148.87288
2018-02-10,1,1,153.73067
2018-02-11,1,1,159.22864
2018-02-12,1,1,125.99178
2018-02-13,1,1,137.79631
2018-02-14,1,1,137.99438
2018-02-15,1,1,144.35565
2018-02-16,1,1,148.87288
2018-02-17,1,1,153.73067
2018-02-18,1,1,159.22864
2018-02-19,1,1,125.99178
2018-02-20,1,1,137.79631
2018-02-21,1,1,137.99438
2018-02-22,1,1,144.35565
2018-02-23,1,1,148.87288
2018-02-24,1,1,153.73067
2018-02-25,1,1,159.22864
2018-02-26,1,1,125.99178
2018-02-27,1,1,137.79631
2018-02-28,1,1,137.99438
2018-03-01,1,1,146.3657
2018-03-02,1,1,150.60881
2018-03-03,1,1,155.3943
2018-03-04,1,1,160.09598
2018-03-05,1,1,127.56726
2018-03-06,1,1,139.48662
2018-03-07,1,1,139.6847
2018-03-08,1,1,146.3657
2018-03-09,1,1,150.60881
2018-03-10,1,1,155.3943
2018-03-11,1,1,160.09598
2018-03-12,1,1,127.56726
2018-03-13,1,1,139.48662
2018-03-14,1,1,139.6847
2018-03-15,1,1,146.3657
2018-03-16,1,1,150.60881
2018-03-17,1,1,155.3943
2018-03-18,1,1,160.09598
2018-03-19,1,1,127.56726
2018-03-20,1,1,139.48662
2018-03-21,1,1,139.6847
2018-03-22,1,1,146.3657
2018-03-23,1,1,150.60881
2018-03-24,1,1,155.3943
2018-03-25,1,1,160.09598
2018-03-26,1,1,127.56726
2018-03-27,1,1,139.48662
2018-03-28,1,1,139.6847
2018-03-29,1,1,146.3657
2018-03-30,1,1,150.60881
2018-03-31,1,1,155.3943
2018-01-01,1,2,50.040524
2018-01-02,1,2,96.05164
2018-01-03,1,2,97.81616
2018-01-04,1,2,106.844635
2018-01-05,1,2,112.99032
2018-01-06,1,2,117.60209
2018-01-07,1,2,119.233315
2018-01-08,1,2,111.9646
2018-01-09,1,2,118.64821
2018-01-10,1,2,119.94902
2018-01-11,1,2,131.0504
2018-01-12,1,2,136.33748
2018-01-13,1,2,139.37918
2018-01-14,1,2,139.3665
2018-01-15,1,2,128.83885
2018-01-16,1,2,137.73346
2018-01-17,1,2,138.80756
2018-01-18,1,2,146.27762
2018-01-19,1,2,150.25871
2018-01-20,1,2,151.52975
2018-01-21,1,2,160.87607
2018-01-22,1,2,128.83885
2018-01-23,1,2,137.07825
2018-01-24,1,2,137.83331
2018-01-25,1,2,145.1297
2018-01-26,1,2,149.87964
2018-01-27,1,2,153.75539
2018-01-28,1,2,160.87607
2018-01-29,1,2,124.99629
2018-01-30,1,2,136.80078
2018-01-31,1,2,136.99884
2018-02-01,1,2,144.35565
2018-02-02,1,2,148.87288
2018-02-03,1,2,153.73067
2018-02-04,1,2,159.22864
2018-02-05,1,2,125.99178
2018-02-06,1,2,137.79631
2018-02-07,1,2,137.99438
2018-02-08,1,2,144.35565
2018-02-09,1,2,148.87288
2018-02-10,1,2,153.73067
2018-02-11,1,2,159.22864
2018-02-12,1,2,125.99178
2018-02-13,1,2,137.79631
2018-02-14,1,2,137.99438
2018-02-15,1,2,144.35565
2018-02-16,1,2,148.87288
2018-02-17,1,2,153.73067
2018-02-18,1,2,159.22864
2018-02-19,1,2,125.99178
2018-02-20,1,2,137.79631
2018-02-21,1,2,137.99438
2018-02-22,1,2,144.35565
2018-02-23,1,2,148.87288
2018-02-24,1,2,153.73067
2018-02-25,1,2,159.22864
2018-02-26,1,2,125.99178
2018-02-27,1,2,137.79631
2018-02-28,1,2,137.99438
2018-03-01,1,2,146.3657
2018-03-02,1,2,150.60881
2018-03-03,1,2,155.3943
2018-03-04,1,2,160.09598
2018-03-05,1,2,127.56726
2018-03-06,1,2,139.48662
2018-03-07,1,2,139.6847
2018-03-08,1,2,146.3657
2018-03-09,1,2,150.60881
2018-03-10,1,2,155.3943
2018-03-11,1,2,160.09598
2018-03-12,1,2,127.56726
2018-03-13,1,2,139.48662
2018-03-14,1,2,139.6847
2018-03-15,1,2,146.3657
2018-03-16,1,2,150.60881
2018-03-17,1,2,155.3943
2018-03-18,1,2,160.09598
2018-03-19,1,2,127.56726
2018-03-20,1,2,139.48662
2018-03-21,1,2,139.6847
2018-03-22,1,2,146.3657
2018-03-23,1,2,150.60881
2018-03-24,1,2,155.3943
2018-03-25,1,2,160.09598
2018-03-26,1,2,127.56726
2018-03-27,1,2,139.48662
2018-03-28,1,2,139.6847
2018-03-29,1,2,146.3657
2018-03-30,1,2,150.60881
2018-03-31,1,2,155.3943
2018-01-01,1,3,42.29883
2018-01-02,1,3,95.988075
2018-01-03,1,3,97.28977
2018-01-04,1,3,108.01421
2018-01-05,1,3,114.58977
2018-01-06,1,3,115.66708
2018-01-07,1,3,118.50076
2018-01-08,1,3,111.8606
2018-01-09,1,3,118.37963
2018-01-10,1,3,119.369255
2018-01-11,1,3,131.6011
2018-01-12,1,3,137.17934
2018-01-13,1,3,139.00429
2018-01-14,1,3,140.2055
2018-01-15,1,3,128.71707
2018-01-16,1,3,136.88226
2018-01-17,1,3,137.44608
2018-01-18,1,3,145.21461
2018-01-19,1,3,150.38794
2018-01-20,1,3,153.88461
2018-01-21,1,3,158.71378
2018-01-22,1,3,128.67494
2018-01-23,1,3,136.88226
2018-01-24,1,3,137.44608
2018-01-25,1,3,145.16075
2018-01-26,1,3,150.38794
2018-01-27,1,3,153.88461
2018-01-28,1,3,159.18294
2018-01-29,1,3,125.76121
2018-01-30,1,3,137.56569
2018-01-31,1,3,137.76375
2018-02-01,1,3,144.76448
2018-02-02,1,3,149.28171
2018-02-03,1,3,154.1395
2018-02-04,1,3,159.63747
2018-02-05,1,3,126.7567
2018-02-06,1,3,138.56122
2018-02-07,1,3,138.7593
2018-02-08,1,3,144.76448
2018-02-09,1,3,149.28171
2018-02-10,1,3,154.1395
2018-02-11,1,3,159.63747
2018-02-12,1,3,126.7567
2018-02-13,1,3,138.56122
2018-02-14,1,3,138.7593
2018-02-15,1,3,144.76448
2018-02-16,1,3,149.28171
2018-02-17,1,3,154.1395
2018-02-18,1,3,159.63747
2018-02-19,1,3,126.7567
2018-02-20,1,3,138.56122
2018-02-21,1,3,138.7593
2018-02-22,1,3,144.76448
2018-02-23,1,3,149.28171
2018-02-24,1,3,154.1395
2018-02-25,1,3,159.63747
2018-02-26,1,3,126.7567
2018-02-27,1,3,138.56122
2018-02-28,1,3,138.7593
2018-03-01,1,3,146.77454
2018-03-02,1,3,151.01764
2018-03-03,1,3,155.80313
2018-03-04,1,3,160.5048
2018-03-05,1,3,128.33217
2018-03-06,1,3,140.25153
2018-03-07,1,3,140.4496
2018-03-08,1,3,146.77454
2018-03-09,1,3,151.01764
2018-03-10,1,3,155.80313
2018-03-11,1,3,160.5048
2018-03-12,1,3,128.33217
2018-03-13,1,3,140.25153
2018-03-14,1,3,140.4496
2018-03-15,1,3,146.77454
2018-03-16,1,3,151.01764
2018-03-17,1,3,155.80313
2018-03-18,1,3,160.5048
2018-03-19,1,3,128.33217
2018-03-20,1,3,140.25153
2018-03-21,1,3,140.4496
2018-03-22,1,3,146.77454
2018-03-23,1,3,151.01764
2018-03-24,1,3,155.80313
2018-03-25,1,3,160.5048
2018-03-26,1,3,128.33217
2018-03-27,1,3,140.25153
2018-03-28,1,3,140.4496
2018-03-29,1,3,146.77454
2018-03-30,1,3,151.01764
2018-03-31,1,3,155.80313
2018-01-01,1,4,35.66542
2018-01-02,1,4,95.894356
2018-01-03,1,4,97.59349
2018-01-04,1,4,108.00324
2018-01-05,1,4,114.73817
2018-01-06,1,4,116.460106
2018-01-07,1,4,118.72154
2018-01-08,1,4,111.76682
2018-01-09,1,4,118.277534
2018-01-10,1,4,119.28543
2018-01-11,1,4,131.6011
2018-01-12,1,4,137.17934
2018-01-13,1,4,139.00429
2018-01-14,1,4,140.2055
2018-01-15,1,4,128.71707
2018-01-16,1,4,136.88226
2018-01-17,1,4,137.39221
2018-01-18,1,4,145.16075
2018-01-19,1,4,150.33408
2018-01-20,1,4,153.88461
2018-01-21,1,4,159.12907
2018-01-22,1,4,128.6632
2018-01-23,1,4,136.88528
2018-01-24,1,4,137.39221
2018-01-25,1,4,145.16075
2018-01-26,1,4,150.33408
2018-01-27,1,4,153.83075
2018-01-28,1,4,159.12907
2018-01-29,1,4,125.76121
2018-01-30,1,4,137.56569
2018-01-31,1,4,137.76375
2018-02-01,1,4,144.76448
2018-02-02,1,4,149.28171
2018-02-03,1,4,154.1395
2018-02-04,1,4,159.63747
2018-02-05,1,4,126.7567
2018-02-06,1,4,138.56122
2018-02-07,1,4,138.7593
2018-02-08,1,4,144.76448
2018-02-09,1,4,149.28171
2018-02-10,1,4,154.1395
2018-02-11,1,4,159.63747
2018-02-12,1,4,126.7567
2018-02-13,1,4,138.56122
2018-02-14,1,4,138.7593
2018-02-15,1,4,144.76448
2018-02-16,1,4,149.28171
2018-02-17,1,4,154.1395
2018-02-18,1,4,159.63747
2018-02-19,1,4,126.7567
2018-02-20,1,4,138.56122
2018-02-21,1,4,138.7593
2018-02-22,1,4,144.76448
2018-02-23,1,4,149.28171
2018-02-24,1,4,154.1395
2018-02-25,1,4,159.63747
2018-02-26,1,4,126.7567
2018-02-27,1,4,138.56122
2018-02-28,1,4,138.7593
2018-03-01,1,4,146.77454
2018-03-02,1,4,151.01764
2018-03-03,1,4,155.80313
2018-03-04,1,4,160.5048
2018-03-05,1,4,128.33217
2018-03-06,1,4,140.25153
2018-03-07,1,4,140.4496
2018-03-08,1,4,146.77454
2018-03-09,1,4,151.01764
2018-03-10,1,4,155.80313
2018-03-11,1,4,160.5048
2018-03-12,1,4,128.33217
2018-03-13,1,4,140.25153
2018-03-14,1,4,140.4496
2018-03-15,1,4,146.77454
2018-03-16,1,4,151.01764
2018-03-17,1,4,155.80313
2018-03-18,1,4,160.5048
2018-03-19,1,4,128.33217
2018-03-20,1,4,140.25153
2018-03-21,1,4,140.4496
2018-03-22,1,4,146.77454
2018-03-23,1,4,151.01764
2018-03-24,1,4,155.80313
2018-03-25,1,4,160.5048
2018-03-26,1,4,128.33217
2018-03-27,1,4,140.25153
2018-03-28,1,4,140.4496
2018-03-29,1,4,146.77454
2018-03-30,1,4,151.01764
2018-03-31,1,4,155.80313
2018-01-01,1,5,33.592136
2018-01-02,1,5,95.894356
2018-01-03,1,5,97.59349
2018-01-04,1,5,108.00022
2018-01-05,1,5,114.73817
2018-01-06,1,5,116.46313
2018-01-07,1,5,118.72154
2018-01-08,1,5,111.74445
2018-01-09,1,5,118.280556
2018-01-10,1,5,119.28847
2018-01-11,1,5,131.6011
2018-01-12,1,5,137.18236
2018-01-13,1,5,138.98192
2018-01-14,1,5,140.2055
2018-01-15,1,5,128.6632
2018-01-16,1,5,136.88528
2018-01-17,1,5,137.39221
2018-01-18,1,5,145.16377
2018-01-19,1,5,150.3371
2018-01-20,1,5,153.83075
2018-01-21,1,5,159.12907
2018-01-22,1,5,128.66621
2018-01-23,1,5,136.88226
2018-01-24,1,5,137.39221
2018-01-25,1,5,145.16075
2018-01-26,1,5,150.33408
2018-01-27,1,5,153.83377
2018-01-28,1,5,159.12907
2018-01-29,1,5,125.76121
2018-01-30,1,5,137.56569
2018-01-31,1,5,137.76375
2018-02-01,1,5,144.76448
2018-02-02,1,5,149.28171
2018-02-03,1,5,154.1395
2018-02-04,1,5,159.63747
2018-02-05,1,5,126.7567
2018-02-06,1,5,138.56122
2018-02-07,1,5,138.7593
2018-02-08,1,5,144.76448
2018-02-09,1,5,149.28171
2018-02-10,1,5,154.1395
2018-02-11,1,5,159.63747
2018-02-12,1,5,126.7567
2018-02-13,1,5,138.56122
2018-02-14,1,5,138.7593
2018-02-15,1,5,144.76448
2018-02-16,1,5,149.28171
2018-02-17,1,5,154.1395
2018-02-18,1,5,159.63747
2018-02-19,1,5,126.7567
2018-02-20,1,5,138.56122
2018-02-21,1,5,138.7593
2018-02-22,1,5,144.76448
2018-02-23,1,5,149.28171
2018-02-24,1,5,154.1395
2018-02-25,1,5,159.63747
2018-02-26,1,5,126.7567
2018-02-27,1,5,138.56122
2018-02-28,1,5,138.7593
2018-03-01,1,5,146.77454
2018-03-02,1,5,151.01764
2018-03-03,1,5,155.80313
2018-03-04,1,5,160.5048
2018-03-05,1,5,128.33217
2018-03-06,1,5,140.25153
2018-03-07,1,5,140.4496
2018-03-08,1,5,146.77454
2018-03-09,1,5,151.01764
2018-03-10,1,5,155.80313
2018-03-11,1,5,160.5048
2018-03-12,1,5,128.33217
2018-03-13,1,5,140.25153
2018-03-14,1,5,140.4496
2018-03-15,1,5,146.77454
2018-03-16,1,5,151.01764
2018-03-17,1,5,155.80313
2018-03-18,1,5,160.5048
2018-03-19,1,5,128.33217
2018-03-20,1,5,140.25153
2018-03-21,1,5,140.4496
2018-03-22,1,5,146.77454
2018-03-23,1,5,151.01764
2018-03-24,1,5,155.80313
2018-03-25,1,5,160.5048
2018-03-26,1,5,128.33217
2018-03-27,1,5,140.25153
2018-03-28,1,5,140.4496
2018-03-29,1,5,146.77454
2018-03-30,1,5,151.01764
2018-03-31,1,5,155.80313
2018-01-01,1,6,55.662056
2018-01-02,1,6,95.944786
2018-01-03,1,6,98.05821
2018-01-04,1,6,108.2431
2018-01-05,1,6,115.63413
2018-01-06,1,6,115.61139
2018-01-07,1,6,117.92698
2018-01-08,1,6,115.011314
2018-01-09,1,6,118.21013
2018-01-10,1,6,119.04095
2018-01-11,1,6,131.53813
2018-01-12,1,6,136.10776
2018-01-13,1,6,138.74263
2018-01-14,1,6,139.61029
2018-01-15,1,6,128.67494
2018-01-16,1,6,136.91435
2018-01-17,1,6,137.98935
2018-01-18,1,6,145.93768
2018-01-19,1,6,151.17564
2018-01-20,1,6,153.29277
2018-01-21,1,6,158.38649
2018-01-22,1,6,127.60398
2018-01-23,1,6,136.91435
2018-01-24,1,6,137.60817
2018-01-25,1,6,145.19284
2018-01-26,1,6,151.17564
2018-01-27,1,6,153.80106
2018-01-28,1,6,158.33592
2018-01-29,1,6,125.76121
2018-01-30,1,6,137.56569
2018-01-31,1,6,137.76375
2018-02-01,1,6,144.76448
2018-02-02,1,6,149.28171
2018-02-03,1,6,154.1395
2018-02-04,1,6,159.79588
2018-02-05,1,6,126.7567
2018-02-06,1,6,138.56122
2018-02-07,1,6,138.7593
2018-02-08,1,6,144.76448
2018-02-09,1,6,149.28171
2018-02-10,1,6,154.1395
2018-02-11,1,6,159.79588
2018-02-12,1,6,126.7567
2018-02-13,1,6,138.56122
2018-02-14,1,6,138.7593
2018-02-15,1,6,144.76448
2018-02-16,1,6,149.28171
2018-02-17,1,6,154.1395
2018-02-18,1,6,159.79588
2018-02-19,1,6,126.7567
2018-02-20,1,6,138.56122
2018-02-21,1,6,138.7593
2018-02-22,1,6,144.76448
2018-02-23,1,6,149.28171
2018-02-24,1,6,154.1395
2018-02-25,1,6,159.79588
2018-02-26,1,6,126.7567
2018-02-27,1,6,138.56122
2018-02-28,1,6,138.7593
2018-03-01,1,6,146.77454
2018-03-02,1,6,151.01764
2018-03-03,1,6,155.80313
2018-03-04,1,6,160.66322
2018-03-05,1,6,128.33217
2018-03-06,1,6,140.25153
2018-03-07,1,6,140.4496
2018-03-08,1,6,146.77454
2018-03-09,1,6,151.01764
2018-03-10,1,6,155.80313
2018-03-11,1,6,160.66322
2018-03-12,1,6,128.33217
2018-03-13,1,6,140.25153
2018-03-14,1,6,140.4496
2018-03-15,1,6,146.77454
2018-03-16,1,6,151.01764
2018-03-17,1,6,155.80313
2018-03-18,1,6,160.66322
2018-03-19,1,6,128.33217
2018-03-20,1,6,140.25153
2018-03-21,1,6,140.4496
2018-03-22,1,6,146.77454
2018-03-23,1,6,151.01764
2018-03-24,1,6,155.80313
2018-03-25,1,6,160.66322
2018-03-26,1,6,128.33217
2018-03-27,1,6,140.25153
2018-03-28,1,6,140.4496
2018-03-29,1,6,146.77454
2018-03-30,1,6,151.01764
2018-03-31,1,6,155.80313
2018-01-01,1,7,49.692947
2018-01-02,1,7,95.39054
2018-01-03,1,7,98.87076
2018-01-04,1,7,106.4383
2018-01-05,1,7,114.79297
2018-01-06,1,7,115.971375
2018-01-07,1,7,116.44597
2018-01-08,1,7,112.207985
2018-01-09,1,7,118.382355
2018-01-10,1,7,119.919716
2018-01-11,1,7,131.26358
2018-01-12,1,7,137.66403
2018-01-13,1,7,139.83311
2018-01-14,1,7,138.20064
2018-01-15,1,7,129.71742
2018-01-16,1,7,137.05415
2018-01-17,1,7,138.54536
2018-01-18,1,7,144.88525
2018-01-19,1,7,150.07167
2018-01-20,1,7,153.56834
2018-01-21,1,7,158.80243
2018-01-22,1,7,128.81476
2018-01-23,1,7,137.05415
2018-01-24,1,7,138.25067
2018-01-25,1,7,145.67357
2018-01-26,1,7,150.05858
2018-01-27,1,7,154.00267
2018-01-28,1,7,159.31119
2018-01-29,1,7,125.90099
2018-01-30,1,7,137.70549
2018-01-31,1,7,137.90356
2018-02-01,1,7,144.9043
2018-02-02,1,7,149.42152
2018-02-03,1,7,154.27931
2018-02-04,1,7,159.79588
2018-02-05,1,7,126.89654
2018-02-06,1,7,138.70105
2018-02-07,1,7,138.89911
2018-02-08,1,7,144.9043
2018-02-09,1,7,149.42152
2018-02-10,1,7,154.27931
2018-02-11,1,7,159.79588
2018-02-12,1,7,126.89654
2018-02-13,1,7,138.70105
2018-02-14,1,7,138.89911
2018-02-15,1,7,144.9043
2018-02-16,1,7,149.42152
2018-02-17,1,7,154.27931
2018-02-18,1,7,159.79588
2018-02-19,1,7,126.89654
2018-02-20,1,7,138.70105
2018-02-21,1,7,138.89911
2018-02-22,1,7,144.9043
2018-02-23,1,7,149.42152
2018-02-24,1,7,154.27931
2018-02-25,1,7,159.79588
2018-02-26,1,7,126.89654
2018-02-27,1,7,138.70105
2018-02-28,1,7,138.89911
2018-03-01,1,7,146.91435
2018-03-02,1,7,151.15746
2018-03-03,1,7,155.94295
